"id","area_proses","sg1","sg2","sg3","avg","fuzzy"
11,Service Delivery,3.71,3.48,3.30,3.50,3.1759247941600881
12,Incident Resolution and Prevention,3.83,3.65,3.70,3.73,3.2516211549649978
13,Service System Development,3.93,3.29,3.26,3.49,3.2055533399800602
14,Service System Transition,3.00,3.43,0.00,3.22,3.0
15,Strategic Service Management,3.48,3.86,0.00,3.67,3.1153488372093019
16,Configuration Management,3.14,3.57,0.00,3.36,3.0412672176308546
17,Measurement and Analysis,2.93,3.18,0.00,3.06,2.8880417579741908
18,Process and Product Quality Assurance,3.00,3.33,0.00,3.17,3.0
19,Decision Analysis and Resolution,3.10,0.00,0.00,3.10,3.0304347826086953
20,Causal Analysis and Resolution,3.24,3.29,0.00,3.27,3.0658823529411769
21,Organizational Process Definition,3.32,0.00,0.00,3.32,3.0836036036036032
22,Organizational Process Focus,3.03,3.00,3.64,3.22,3.0097129186602869
23,Organizational Training,3.60,3.53,0.00,3.57,3.1594403273974119
24,Organizational Process Performance,3.34,0.00,0.00,3.34,3.0878145695364241
25,Organizational Performance Management,2.95,3.21,3.07,3.08,2.9170560747663554
26,Requirement Management,3.63,0.00,0.00,3.63,3.2033882579101198
27,Supplier Agreement Management,3.65,3.70,0.00,3.68,3.2175086676572562
28,Work Monitoring and Control,3.63,3.27,0.00,3.45,3.1476854599406532
29,Work Planning,3.15,3.33,3.29,3.26,3.0438775510204081
30,Capacity and Availability Management,3.00,2.94,0.00,2.97,3.0
31,Integrated Work Management,3.03,0.00,0.00,3.03,3.0097129186602869
32,Risk Management,3.56,3.30,3.50,3.45,3.132403100775194
33,Service Continuity,3.27,3.50,3.19,3.32,3.0727046263345197
34,Quantitative Work Management,3.29,3.50,0.00,3.40,3.0771312427409989
